DATES,OPEN,HIGH,LOW,CLOSE,VOLUME(BTC),VOLUME (CURRENCY),WEIGHTED PRICE,
4/30/16 0:00,456.53,456.9,454.33,455.66,86.98,39629.16,455.63,
4/30/16 1:00,455.67,455.68,454.35,455.6,29.57,13456.78,455.05,
4/30/16 2:00,454.35,455.6,452,454.58,117.51,53336.43,453.88,
4/30/16 3:00,453.54,454.79,452.59,453.02,39.29,17842.51,454.08,1
4/30/16 4:00,454.46,454.92,452.37,453.61,44.04,20003.89,454.17,2
4/30/16 5:00,454.86,454.86,451.09,451.97,119.08,53823.08,452,3
4/30/16 6:00,453.31,453.9,451.96,453.71,26.33,11936.89,453.37,4
4/30/16 7:00,452.49,454.43,452,454.32,53.06,24014.88,452.6,5
4/30/16 8:00,454.32,454.34,453.3,453.57,26.67,12107.7,454.03,6
4/30/16 9:00,453.3,453.67,452.73,453.67,64.5,29225.78,453.1,7
4/30/16 10:00,453.76,454.31,452.92,454.14,66.43,30149.06,453.82,8
4/30/16 11:00,453.12,453.95,453,453.72,56.05,25408.64,453.36,9
4/30/16 12:00,453.72,453.79,450.55,452.81,121.65,55006.78,452.17,10
4/30/16 13:00,452.38,453.99,452.18,453.98,30.29,13738.34,453.54,11
4/30/16 14:00,453.98,453.98,452.85,452.9,29.51,13382.74,453.43,12
4/30/16 15:00,453.74,453.97,451.81,451.81,57.89,26225.09,453.02,13
4/30/16 16:00,451.8,453.74,451.12,451.76,41.6,18805.11,452.03,14
4/30/16 17:00,451.17,453.23,448,450.33,641.04,288871.34,450.63,15
4/30/16 18:00,449.05,450.85,447.27,448.66,256.59,115037.18,448.33,16
4/30/16 19:00,448.1,449.99,447.84,449.02,68.03,30550.08,449.1,17
4/30/16 20:00,449.46,451.38,448.94,450.01,80.33,36150.84,450.03,18
4/30/16 21:00,450,451.33,448,449.22,144.62,64982.66,449.32,19
4/30/16 22:00,450.07,450.69,447.6,448.5,82.79,37145.41,448.68,20
4/30/16 23:00,447.9,449.52,446.5,448.37,135.72,60692.06,447.19,21
5/1/16 0:00,448.43,449.12,447.37,447.95,67.15,30103.51,448.28,22
5/1/16 1:00,447.95,447.95,446.84,447.47,24.3,10870.65,447.42,23
5/1/16 2:00,447.94,448.48,446.91,448.48,13.31,5957.71,447.75,24
5/1/16 3:00,447.49,448.99,447.01,447.59,28.61,12824.96,448.29,25
5/1/16 4:00,447.59,448.98,447.57,448.98,7.34,3287.6,448.2,26
5/1/16 5:00,448.98,449,448.41,448.53,16.46,7389.91,448.86,27
5/1/16 6:00,448.53,449.92,448.07,449.67,61.15,27444.39,448.83,28
5/1/16 7:00,449.67,450.48,448.91,450,70.76,31830.78,449.85,29
5/1/16 8:00,450.12,450.5,449.61,449.81,29.83,13435.82,450.4,30
5/1/16 9:00,450.5,451.92,449.85,451.75,72.66,32732.8,450.5,31
5/1/16 10:00,451.75,452.99,451.21,452.03,123.2,55714.6,452.22,32
5/1/16 11:00,452.56,452.56,451.05,451.09,42.93,19402.94,451.94,33
5/1/16 12:00,451.11,453.52,451.11,453.25,73.84,33454.17,453.05,34
5/1/16 13:00,453.2,453.25,451.25,453.18,57.34,25937.9,452.36,35
5/1/16 14:00,453.18,453.52,451.56,452.78,56.7,25650.77,452.43,36
5/1/16 15:00,451.76,453.3,451.24,452.2,56.99,25763.45,452.04,37
5/1/16 16:00,452.9,453.29,451.49,452.47,45.87,20759.3,452.61,38
5/1/16 17:00,452.45,452.52,450.8,451.35,24.46,11056.53,452.09,39
5/1/16 18:00,451.35,451.97,449.01,449.57,35.45,15981.77,450.8,40
5/1/16 19:00,449.64,452,449.64,451.98,59.99,27084.98,451.52,41
5/1/16 20:00,451.53,453,451.08,452.97,35.93,16243.84,452.04,42
5/1/16 21:00,452.97,453.78,452,452.92,125.14,56635.77,452.59,43
5/1/16 22:00,452.97,453,451.6,451.89,21.65,9791.01,452.25,44
5/1/16 23:00,452.86,453,451.11,453,39.66,17920.88,451.9,45
5/2/16 0:00,452.99,453.8,451.53,451.53,72.05,32605.65,452.55,46
5/2/16 1:00,451.58,452.78,450.73,451.7,47.65,21516.46,451.54,47
5/2/16 2:00,451.68,452.78,450.74,452.43,185.06,83505.4,451.23,48
5/2/16 3:00,452.79,452.79,450.8,452.1,27,12193.52,451.67,49
5/2/16 4:00,452.1,452.1,451.67,451.69,7.36,3324.06,451.94,50
5/2/16 5:00,451.71,452.25,450.99,451.93,42.1,19015.19,451.64,51
5/2/16 6:00,451.45,451.92,450.77,451.73,56.96,25720.58,451.52,52
5/2/16 7:00,451.21,451.34,447.31,449.11,354.1,159169.05,449.5,53
