DATE,OPEN,HIGH,LOW,CLOSE,MARKET CAP,STATUS,VALUE
10-Feb-18,8720.08,9122.55,8295.47,8621.9,"146,981,000,000",-0.011259071,0
9-Feb-18,8271.84,8736.98,7884.71,8736.98,"139,412,000,000",0.056231745,1
8-Feb-18,7637.86,8558.77,7637.86,8265.59,"128,714,000,000",0.082186633,1
7-Feb-18,7755.49,8509.11,7236.79,7621.3,"130,683,000,000",-0.017302582,0
6-Feb-18,7051.75,7850.7,6048.26,7754,"118,810,000,000",0.099585209,1
5-Feb-18,8270.54,8364.84,6756.68,6955.27,"139,325,000,000",-0.159030728,0
4-Feb-18,9175.7,9334.87,8031.22,8277.01,"154,553,000,000",-0.097942391,0
3-Feb-18,8852.12,9430.75,8251.63,9174.91,"149,085,000,000",0.036464711,1
2-Feb-18,9142.28,9142.28,7796.49,8830.75,"153,953,000,000",-0.034075745,0
1-Feb-18,10237.3,10288.8,8812.28,9170.54,"172,372,000,000",-0.104203257,0
31-Jan-18,10108.2,10381.6,9777.42,10221.1,"170,183,000,000",0.01116915,1
30-Jan-18,11306.8,11307.2,10036.2,10106.3,"190,339,000,000",-0.106175045,0
29-Jan-18,11755.5,11875.6,11179.2,11296.4,"197,871,000,000",-0.03905406,0
28-Jan-18,11475.3,12040.3,11475.3,11786.3,"193,133,000,000",0.027101688,1
27-Jan-18,11174.9,11614.9,10989.2,11440.7,"188,054,000,000",0.023785448,1
26-Jan-18,11256,11656.7,10470.3,11171.4,"189,398,000,000",-0.007515991,0
25-Jan-18,11421.7,11785.7,11057.4,11259.4,"192,163,000,000",-0.014209794,0
24-Jan-18,10903.4,11501.4,10639.8,11359.4,"183,419,000,000",0.041821817,1
23-Jan-18,10944.5,11377.6,10129.7,10868.4,"184,087,000,000",-0.006953264,0
22-Jan-18,11633.1,11966.4,10240.2,10931.4,"195,645,000,000",-0.060319261,0
21-Jan-18,12889.2,12895.9,11288.2,11600.1,"216,740,000,000",-0.100013965,0
20-Jan-18,11656.2,13103,11656.2,12899.2,"195,979,000,000",0.106638527,1
19-Jan-18,11429.8,11992.8,11172.1,11607.4,"192,150,000,000",0.01553833,1
18-Jan-18,11198.8,12107.3,10942.5,11474.9,"188,242,000,000",0.024654427,1
17-Jan-18,11431.1,11678,9402.29,11188.6,"192,123,000,000",-0.021214056,0
16-Jan-18,13836.1,13843.1,10194.9,11490.5,"232,517,000,000",-0.16952754,0
15-Jan-18,13767.3,14445.5,13641.7,13819.8,"231,334,000,000",0.003813384,1
