DATE,OPEN,HIGH,LOW,CLOSE,MARKET CAP
"Feb 10, 2018",882.47,917.40,825.58,860.41,"86,055,600,000"
"Feb 09, 2018",818.48,884.00,788.83,883.87,"79,799,300,000"
"Feb 08, 2018",755.84,845.09,755.84,817.81,"73,676,900,000"
"Feb 07, 2018",790.43,851.20,723.43,757.07,"77,032,000,000"
"Feb 06, 2018",707.74,796.44,574.42,793.12,"68,958,700,000"
"Feb 05, 2018",834.96,856.65,644.60,697.95,"81,337,400,000"
"Feb 04, 2018",964.67,969.03,805.06,834.68,"93,953,400,000"
"Feb 03, 2018",919.21,991.94,847.69,964.02,"89,507,600,000"
"Feb 02, 2018",1035.77,1035.77,757.98,915.78,"100,836,000,000"
"Feb 01, 2018",1119.37,1161.35,984.82,1036.79,"108,952,000,000"
"Jan 31, 2018",1071.09,1128.66,1034.50,1118.31,"104,231,000,000"
"Jan 30, 2018",1184.13,1184.63,1058.97,1071.13,"115,207,000,000"
"Jan 29, 2018",1246.70,1256.70,1169.08,1182.36,"121,269,000,000"
"Jan 28, 2018",1111.78,1257.77,1111.78,1246.01,"108,122,000,000"
"Jan 27, 2018",1055.75,1121.98,1042.12,1107.07,"102,651,000,000"
"Jan 26, 2018",1052.70,1080.60,996.78,1055.17,"102,334,000,000"
"Jan 25, 2018",1063.22,1104.66,1034.74,1056.03,"103,335,000,000"
"Jan 24, 2018",987.48,1062.44,965.81,1058.78,"95,952,700,000"
"Jan 23, 2018",1004.17,1023.23,920.54,986.23,"97,554,300,000"
"Jan 22, 2018",1055.35,1089.10,930.74,1003.26,"102,504,000,000"
"Jan 21, 2018",1155.68,1155.68,1021.50,1049.58,"112,226,000,000"
"Jan 20, 2018",1044.95,1167.11,1044.95,1155.15,"101,451,000,000"
"Jan 19, 2018",1028.82,1093.22,1003.71,1039.10,"99,863,900,000"
"Jan 18, 2018",1016.44,1100.31,967.76,1036.28,"98,642,100,000"
"Jan 17, 2018",1061.34,1090.23,780.92,1014.25,"102,974,000,000"
"Jan 16, 2018",1292.63,1292.63,875.54,1053.69,"125,389,000,000"
"Jan 15, 2018",1365.21,1390.59,1290.60,1291.92,"132,404,000,000"
